stage_position,coincidence_rate_t_b,count_rate_b, g2,capture_duration,counts_t,counts_a,counts_b,counts_t_a,counts_t_b,counts_t_a_b,counts_a_b
8.99319,2188.00,8794.00,NaN,1000.00,186489,33.0000,8794.00,0.00000,2188.00,0.00000,0.00000
9.05972,1709.00,8098.00,NaN,1000.00,186265,31.0000,8098.00,0.00000,1709.00,0.00000,0.00000
9.12931,1273.00,7895.00,NaN,1000.00,186374,42.0000,7895.00,0.00000,1273.00,0.00000,0.00000
9.19950,1414.00,8497.00,NaN,1000.00,186836,27.0000,8497.00,0.00000,1414.00,0.00000,0.00000
9.27030,1892.00,8985.00,NaN,1000.00,186603,36.0000,8985.00,0.00000,1892.00,0.00000,0.00000
9.34111,2395.00,9064.00,NaN,1000.00,186751,27.0000,9064.00,0.00000,2395.00,0.00000,0.00000
9.40764,2229.00,8637.00,NaN,1000.00,186649,27.0000,8637.00,0.00000,2229.00,0.00000,0.00000
9.47905,1676.00,8087.00,NaN,1000.00,186883,44.0000,8087.00,0.00000,1676.00,0.00000,0.00000
9.55046,1252.00,7931.00,NaN,1000.00,185575,36.0000,7931.00,0.00000,1252.00,0.00000,0.00000
9.62004,1417.00,8338.00,0.00000,1000.00,186253,21.0000,8338.00,1.00000,1417.00,0.00000,0.00000
9.68963,1897.00,8944.00,NaN,1000.00,186197,20.0000,8944.00,0.00000,1897.00,0.00000,0.00000
9.75738,2412.00,9284.00,NaN,1000.00,186545,26.0000,9284.00,0.00000,2412.00,0.00000,0.00000
9.83062,2334.00,8985.00,NaN,1000.00,186950,33.0000,8985.00,0.00000,2334.00,0.00000,0.00000
9.90265,1766.00,8193.00,NaN,1000.00,186124,44.0000,8193.00,0.00000,1766.00,0.00000,0.00000
9.96918,1284.00,7850.00,NaN,1000.00,186158,17.0000,7850.00,0.00000,1284.00,0.00000,0.00000
10.0388,1401.00,8412.00,NaN,1000.00,186221,32.0000,8412.00,0.00000,1401.00,0.00000,0.00000
10.1065,1983.00,9172.00,NaN,1000.00,186703,23.0000,9172.00,0.00000,1983.00,0.00000,0.00000
10.1773,2537.00,9507.00,NaN,1000.00,186755,18.0000,9507.00,0.00000,2537.00,0.00000,0.00000
10.2469,2257.00,8560.00,NaN,1000.00,186115,31.0000,8560.00,0.00000,2257.00,0.00000,0.00000
10.3177,1659.00,8007.00,NaN,1000.00,186172,31.0000,8007.00,0.00000,1659.00,0.00000,0.00000
10.3873,1226.00,7703.00,NaN,1000.00,186558,34.0000,7703.00,0.00000,1226.00,0.00000,0.00000
10.4563,1425.00,8430.00,NaN,1000.00,186226,34.0000,8430.00,0.00000,1425.00,0.00000,0.00000
10.5264,2011.00,9215.00,NaN,1000.00,186346,33.0000,9215.00,0.00000,2011.00,0.00000,0.00000
10.5972,2412.00,9407.00,NaN,1000.00,186675,27.0000,9407.00,0.00000,2412.00,0.00000,0.00000
10.6656,2163.00,8668.00,NaN,1000.00,187349,39.0000,8668.00,0.00000,2163.00,0.00000,0.00000
10.7346,1595.00,7740.00,NaN,1000.00,186640,18.0000,7740.00,0.00000,1595.00,0.00000,0.00000
10.8042,1240.00,7728.00,NaN,1000.00,187442,24.0000,7728.00,0.00000,1240.00,0.00000,0.00000
10.8750,1379.00,8304.00,NaN,1000.00,187665,27.0000,8304.00,0.00000,1379.00,0.00000,0.00000
10.9439,2102.00,9167.00,NaN,1000.00,187239,34.0000,9167.00,0.00000,2102.00,0.00000,0.00000
11.0147,2581.00,9635.00,NaN,1000.00,187463,35.0000,9635.00,0.00000,2581.00,0.00000,0.00000
