detector_t_and_a,coincidence_t_and_a,coincidence_t_and_b
-8.00000,0.00000,1.00000
-7.75000,0.00000,2.00000
-7.50000,0.00000,1.00000
-7.25000,0.00000,1.00000
-7.00000,0.00000,1.00000
-6.75000,0.00000,1.00000
-6.50000,0.00000,1.00000
-6.25000,0.00000,1.00000
-6.00000,0.00000,1.00000
-5.75000,0.00000,2.00000
-5.50000,0.00000,0.00000
-5.25000,0.00000,1.00000
-5.00000,0.00000,3.00000
-4.75000,0.00000,3.00000
-4.50000,0.00000,16.0000
-4.25000,0.00000,28.0000
-4.00000,0.00000,56.0000
-3.75000,0.00000,124.000
-3.50000,0.00000,174.000
-3.25000,0.00000,209.000
-3.00000,0.00000,286.000
-2.75000,0.00000,320.000
-2.50000,0.00000,351.000
-2.25000,0.00000,364.000
-2.00000,0.00000,344.000
-1.75000,0.00000,335.000
-1.50000,0.00000,267.000
-1.25000,0.00000,234.000
-1.00000,0.00000,193.000
-0.750000,0.00000,124.000
-0.500000,0.00000,106.000
-0.250000,0.00000,58.0000
0.00000,0.00000,38.0000
0.250000,0.00000,12.0000
0.500000,0.00000,5.00000
0.750000,0.00000,1.00000
1.00000,0.00000,0.00000
1.25000,0.00000,5.00000
1.50000,0.00000,1.00000
1.75000,0.00000,3.00000
2.00000,0.00000,2.00000
2.25000,0.00000,0.00000
2.50000,0.00000,0.00000
2.75000,0.00000,0.00000
3.00000,0.00000,0.00000
3.25000,0.00000,0.00000
3.50000,0.00000,0.00000
3.75000,0.00000,1.00000
4.00000,0.00000,0.00000
