fine_adjuster_position,visibilities,sd_error_visibility,experimental_visibilities
-52,0.3150858733436647,0.008727859798852669,0.32353741496598637
-50,0.3322680439684911,0.009193655029991097,0.35592329918571053
-40,0.4593301044094391,0.009882192509637094,0.47351524879614765
-30,0.5963948193057833,0.012003174437423249,0.6275149537792278
-20,0.7105831809018265,0.009046870444275145,0.7182946573124662
-10,0.7756984976773795,0.015901145159884698,0.7901944672692413
0,0.8231758532976385,0.01063914552956424,0.7994505494505495
10,0.7745238582792745,0.013065351472461784,0.7940937415334598
20,0.6527434684307912,0.014000341291916003,0.6515486725663717
30,0.47048845360906355,0.008706610301125297,0.4605695509309967
40,0.24043640423399748,0.007729203564623336,0.2776103041929296
50,0.03815533967943498,0.006922468668818896,0.069625520110957
60,0.0980626051419106,0.006182538236246849,0.12578444747612552
